filename,label
dog/000000/05.png,0
dog/000001/06.png,1
dog/000002/09.png,2
dog/000003/05.png,3
dog/000004/04.png,4
dog/000005/06.png,5
dog/000006/05.png,6
dog/000007/04.png,7
dog/000008/04.png,8
dog/000009/09.png,9
dog/000010/06.png,10
dog/000011/04.png,11
dog/000012/04.png,12
dog/000013/06.png,13
dog/000014/08.png,14
dog/000015/04.png,15
dog/000016/07.png,16
dog/000017/05.png,17
dog/000018/04.png,18
dog/000019/04.png,19
dog/000020/04.png,20
dog/000021/05.png,21
dog/000022/07.png,22
dog/000023/06.png,23
dog/000024/07.png,24
dog/000025/08.png,25
dog/000026/04.png,26
dog/000027/07.png,27
dog/000028/04.png,28
dog/000029/04.png,29
dog/000030/09.png,30
dog/000031/08.png,31
dog/000032/07.png,32
dog/000033/04.png,33
dog/000034/05.png,34
dog/000035/04.png,35
dog/000036/09.png,36
dog/000037/04.png,37
dog/000038/04.png,38
dog/000039/04.png,39
dog/000040/04.png,40
dog/000041/04.png,41
dog/000042/04.png,42
dog/000043/07.png,43
dog/000044/06.png,44
dog/000045/06.png,45
dog/000046/06.png,46
dog/000047/04.png,47
dog/000048/09.png,48
dog/000049/06.png,49
dog/000050/04.png,50
dog/000051/07.png,51
dog/000052/09.png,52
dog/000053/08.png,53
dog/000054/04.png,54
dog/000055/04.png,55
dog/000056/06.png,56
dog/000057/05.png,57
dog/000058/05.png,58
dog/000059/04.png,59
dog/000060/07.png,60
dog/000061/06.png,61
dog/000062/04.png,62
dog/000063/05.png,63
dog/000064/05.png,64
dog/000065/05.png,65
dog/000066/04.png,66
dog/000067/07.png,67
dog/000068/04.png,68
dog/000069/05.png,69
dog/000070/04.png,70
dog/000071/05.png,71
dog/000072/04.png,72
dog/000073/04.png,73
dog/000074/04.png,74
dog/000075/09.png,75
dog/000076/07.png,76
dog/000077/04.png,77
dog/000078/04.png,78
dog/000079/06.png,79
dog/000080/05.png,80
dog/000081/04.png,81
dog/000082/04.png,82
dog/000083/05.png,83
dog/000084/04.png,84
dog/000085/04.png,85
dog/000086/09.png,86
dog/000087/06.png,87
dog/000088/06.png,88
dog/000089/05.png,89
dog/000090/04.png,90
dog/000091/04.png,91
dog/000092/04.png,92
dog/000093/06.png,93
dog/000094/04.png,94
dog/000095/04.png,95
dog/000096/04.png,96
dog/000097/04.png,97
dog/000098/04.png,98
dog/000099/05.png,99
dog/000100/04.png,100
dog/000101/05.png,101
dog/000102/04.png,102
dog/000103/05.png,103
dog/000104/04.png,104
dog/000105/04.png,105
dog/000106/05.png,106
dog/000107/05.png,107
dog/000108/04.png,108
dog/000109/05.png,109
dog/000110/05.png,110
dog/000111/05.png,111
dog/000112/04.png,112
dog/000113/06.png,113
dog/000114/05.png,114
dog/000115/04.png,115
dog/000116/04.png,116
dog/000117/06.png,117
dog/000118/05.png,118
dog/000119/05.png,119
dog/000120/05.png,120
dog/000121/05.png,121
dog/000122/07.png,122
dog/000123/05.png,123
dog/000124/04.png,124
dog/000125/05.png,125
dog/000126/05.png,126
dog/000127/04.png,127
dog/000128/04.png,128
dog/000129/06.png,129
dog/000130/04.png,130
dog/000131/05.png,131
dog/000132/04.png,132
dog/000133/04.png,133
dog/000134/04.png,134
